__time,/LCQP_controller_multipleObstacle/distance/data.0,/LCQP_controller_multipleObstacle/distance/data.1,/LCQP_controller_multipleObstacle/distance/data.10,/LCQP_controller_multipleObstacle/distance/data.11,/LCQP_controller_multipleObstacle/distance/data.12,/LCQP_controller_multipleObstacle/distance/data.13,/LCQP_controller_multipleObstacle/distance/data.14,/LCQP_controller_multipleObstacle/distance/data.2,/LCQP_controller_multipleObstacle/distance/data.3,/LCQP_controller_multipleObstacle/distance/data.4,/LCQP_controller_multipleObstacle/distance/data.5,/LCQP_controller_multipleObstacle/distance/data.6,/LCQP_controller_multipleObstacle/distance/data.7,/LCQP_controller_multipleObstacle/distance/data.8,/LCQP_controller_multipleObstacle/distance/data.9,/LCQP_controller_multipleObstacle/distance/layout/data_offset,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/panda_finger_joint1/effort,/joint_states/panda_finger_joint1/position,/joint_states/panda_finger_joint1/velocity,/joint_states/panda_finger_joint2/effort,/joint_states/panda_finger_joint2/position,/joint_states/panda_finger_joint2/velocity,/joint_states/panda_joint1/effort,/joint_states/panda_joint1/position,/joint_states/panda_joint1/velocity,/joint_states/panda_joint2/effort,/joint_states/panda_joint2/position,/joint_states/panda_joint2/velocity,/joint_states/panda_joint3/effort,/joint_states/panda_joint3/position,/joint_states/panda_joint3/velocity,/joint_states/panda_joint4/effort,/joint_states/panda_joint4/position,/joint_states/panda_joint4/velocity,/joint_states/panda_joint5/effort,/joint_states/panda_joint5/position,/joint_states/panda_joint5/velocity,/joint_states/panda_joint6/effort,/joint_states/panda_joint6/position,/joint_states/panda_joint6/velocity,/joint_states/panda_joint7/effort,/joint_states/panda_joint7/position,/joint_states/panda_joint7/velocity
1709656043.733723,,,,,,,,,,,,,,,,,18.000000000,1709656043.733370066,0.000000000,0.033856090,0.000000000,0.000000000,0.033856090,0.000000000,-0.248328209,0.010272201,0.025196813,-4.054658890,-0.758971937,0.079191670,-0.662701249,0.012302875,0.039681044,22.332027435,-2.357066029,-0.001044110,0.829577625,0.005518045,0.010598169,2.581968784,1.581779647,0.030495063,-0.029112855,0.789576371,-0.002227557
1709656043.748602,0.481779089,0.660929670,0.622521814,0.297347217,0.494232487,0.629337120,0.373204763,0.436630436,0.487156901,0.462007658,0.196444775,0.608702513,0.626922835,0.162323737,0.471129582,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709656043.767595,,,,,,,,,,,,,,,,,19.000000000,1709656043.767246962,0.000000000,0.033856090,0.000000000,0.000000000,0.033856090,0.000000000,-0.208655357,0.011182901,0.026442681,-4.014986038,-0.756273767,0.080684844,-0.702374101,0.013517931,0.039763553,22.292354584,-2.357071988,0.000889413,0.846972644,0.005811720,0.007135207,2.589293003,1.582737413,0.032946215,-0.100523986,0.789584150,0.000185769
1709656043.783298,0.481779089,0.660492341,0.621903687,0.296995529,0.494232487,0.628816811,0.371913576,0.435348162,0.486958251,0.461288277,0.195823349,0.608702513,0.626087350,0.161383955,0.471129582,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709656043.800782,,,,,,,,,,,,,,,,,20.000000000,1709656043.800544024,0.000000000,0.033856090,0.000000000,0.000000000,0.033856090,0.000000000,-0.168982506,0.012005687,0.023348663,-3.892000198,-0.753604523,0.078602304,-0.662701249,0.014703304,0.033937227,22.133663177,-2.357055432,0.001076295,0.835070789,0.006110309,0.011075849,2.524290562,1.583816517,0.030285183,-0.122496642,0.789585675,0.000734681
1709656043.816860,0.481779089,0.660036328,0.621259687,0.296608492,0.494232487,0.628274633,0.370572542,0.434010873,0.486748381,0.460539798,0.195204466,0.608702513,0.625217533,0.160429930,0.471129582,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709656043.834047,,,,,,,,,,,,,,,,,21.000000000,1709656043.833761930,0.000000000,0.033856090,0.000000000,0.000000000,0.033856090,0.000000000,-0.129309654,0.012867976,0.026426259,-4.217317581,-0.750780547,0.080838694,-0.662701249,0.015860863,0.033947097,22.411373138,-2.357076870,-0.000989738,0.853381336,0.006410224,0.010586815,2.567320347,1.584805858,0.033804027,-0.072142638,0.789580393,-0.001430027
1709656043.850628,0.481779089,0.659589250,0.620623418,0.296275306,0.494232487,0.627743074,0.369222617,0.432671037,0.486541416,0.459806199,0.194551893,0.608702513,0.624362005,0.159479408,0.471129582,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709656043.866949,,,,,,,,,,,,,,,,,22.000000000,1709656043.866746902,0.000000000,0.033856090,0.000000000,0.000000000,0.033856090,0.000000000,-0.168982506,0.013762160,0.027416339,-4.463289261,-0.747969456,0.081238185,-0.781719804,0.017080074,0.038802515,22.451045990,-2.357079031,-0.000511288,0.870776355,0.006700699,0.011102255,2.581968784,1.585834877,0.023914441,-0.115172423,0.789586248,0.000496561
1709656043.885306,0.481779089,0.659148049,0.620001995,0.295955899,0.494232487,0.627219241,0.367902506,0.431360470,0.486335445,0.459085351,0.193917925,0.608702513,0.623523545,0.158559351,0.471129582,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709656043.900847,,,,,,,,,,,,,,,,,23.000000000,1709656043.900156021,0.000000000,0.033855762,0.000000000,0.000000000,0.033855762,0.000000000,-0.129309654,0.014658591,0.025130836,-4.586275101,-0.745213630,0.081541480,-0.781719804,0.018291978,0.039787758,22.371700287,-2.357070804,0.000733118,0.841479480,0.007011994,0.015100194,2.574644566,1.586904596,0.030586104,-0.085875548,0.789583032,-0.000825019
1709656043.918633,0.481779089,0.658697988,0.619372893,0.295603051,0.494232487,0.626685516,0.366608182,0.430069830,0.486121999,0.458352700,0.193330186,0.608702513,0.622672796,0.157658626,0.471129582,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
