__time,/LCQP_controller_multipleObstacle/distance/data.0,/LCQP_controller_multipleObstacle/distance/data.1,/LCQP_controller_multipleObstacle/distance/data.10,/LCQP_controller_multipleObstacle/distance/data.11,/LCQP_controller_multipleObstacle/distance/data.2,/LCQP_controller_multipleObstacle/distance/data.3,/LCQP_controller_multipleObstacle/distance/data.4,/LCQP_controller_multipleObstacle/distance/data.5,/LCQP_controller_multipleObstacle/distance/data.6,/LCQP_controller_multipleObstacle/distance/data.7,/LCQP_controller_multipleObstacle/distance/data.8,/LCQP_controller_multipleObstacle/distance/data.9,/LCQP_controller_multipleObstacle/distance/layout/data_offset,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/panda_finger_joint1/effort,/joint_states/panda_finger_joint1/position,/joint_states/panda_finger_joint1/velocity,/joint_states/panda_finger_joint2/effort,/joint_states/panda_finger_joint2/position,/joint_states/panda_finger_joint2/velocity,/joint_states/panda_joint1/effort,/joint_states/panda_joint1/position,/joint_states/panda_joint1/velocity,/joint_states/panda_joint2/effort,/joint_states/panda_joint2/position,/joint_states/panda_joint2/velocity,/joint_states/panda_joint3/effort,/joint_states/panda_joint3/position,/joint_states/panda_joint3/velocity,/joint_states/panda_joint4/effort,/joint_states/panda_joint4/position,/joint_states/panda_joint4/velocity,/joint_states/panda_joint5/effort,/joint_states/panda_joint5/position,/joint_states/panda_joint5/velocity,/joint_states/panda_joint6/effort,/joint_states/panda_joint6/position,/joint_states/panda_joint6/velocity,/joint_states/panda_joint7/effort,/joint_states/panda_joint7/position,/joint_states/panda_joint7/velocity
1709656271.296465,,,,,,,,,,,,,,2.000000000,1709656271.296144962,0.000000000,0.033855762,0.000000000,0.000000000,0.033855762,0.000000000,-0.248328209,0.000746067,0.000264825,-3.729341507,-0.785533828,0.000086101,-0.742046952,0.000352481,-0.000120180,22.252681732,-2.356372622,-0.000817466,0.656542957,0.002568374,0.000118344,2.342100620,1.572031856,-0.000033031,-0.093199767,0.789574370,-0.000322813
1709656271.329694,,,,,,,,,,,,,,3.000000000,1709656271.329489946,0.000000000,0.033855762,0.000000000,0.000000000,0.033855762,0.000000000,-0.208655357,0.000743283,-0.001635510,-3.772981644,-0.785529961,0.000890232,-0.742046952,0.000352595,-0.000045727,22.133663177,-2.356364882,-0.003601771,0.668444812,0.002567038,-0.000048474,2.349424839,1.572031042,-0.000428790,-0.093199767,0.789577607,0.000227609
1709656271.362974,,,,,,,,,,,,,,4.000000000,1709656271.362804890,0.000000000,0.033855762,0.000000000,0.000000000,0.033855762,0.000000000,-0.248328209,0.000746067,0.000219615,-3.772981644,-0.785529804,0.001445590,-0.742046952,0.000354636,0.000287311,22.213008881,-2.356369761,-0.001052495,0.668444812,0.002567050,-0.000255235,2.342100620,1.572034673,0.007920086,-0.085875548,0.789574566,-0.001017851
1709656271.396619,,,,,,,,,,,,,,5.000000000,1709656271.396241903,0.000000000,0.033855762,0.000000000,0.000000000,0.033855762,0.000000000,-0.288001060,0.000747905,-0.001020379,-3.729341507,-0.785533048,-0.000189145,-0.742046952,0.000354924,0.000201754,22.173336029,-2.356366985,-0.000293131,0.662036121,0.002567249,-0.000146073,2.334776402,1.572032670,-0.002784840,-0.107848205,0.789576236,-0.000154865
1709656271.429760,,,,,,,,,,,,,,6.000000000,1709656271.429476976,0.000000000,0.033855762,0.000000000,0.000000000,0.033855762,0.000000000,-0.288001060,0.000748852,0.000666370,-3.729341507,-0.785533754,0.000467255,-0.702374101,0.000351826,-0.000163814,22.173336029,-2.356366977,0.000177655,0.662036121,0.002563029,-0.002191266,2.334776402,1.572033023,0.000101758,-0.128905341,0.789583030,0.001275697
1709656271.463008,,,,,,,,,,,,,,7.000000000,1709656271.462804079,0.000000000,0.033855762,0.000000000,0.000000000,0.033855762,0.000000000,-0.248328209,0.000748198,-0.000100593,-3.729341507,-0.785535163,-0.000332319,-0.742046952,0.000353190,-0.000030057,22.173336029,-2.356366977,-0.000607251,0.662036121,0.002564212,-0.000021977,2.342100620,1.572031843,-0.002260519,-0.064818420,0.789575871,-0.000671356
1709656271.496358,,,,,,,,,,,,,,8.000000000,1709656271.496145010,0.000000000,0.033855762,0.000000000,0.000000000,0.033855762,0.000000000,1.052941322,0.000774533,0.010781363,-1.940095901,-0.785535966,0.000907708,0.793292403,0.000395766,0.021035792,20.828426361,-2.356396116,-0.012180229,0.758166492,0.002598969,0.009461104,2.334776402,1.572027963,-0.005174558,-0.085875548,0.789570376,-0.000233177
1709656271.529727,,,,,,,,,,,,,,9.000000000,1709656271.529464006,0.000000000,0.033855762,0.000000000,0.000000000,0.033855762,0.000000000,-0.010291100,0.001932991,0.033021639,-2.590730667,-0.784439546,0.045729896,-0.150921464,0.001421201,0.032480169,22.054317474,-2.356880459,-0.008096126,0.829577625,0.002899291,-0.003194505,2.589293003,1.572177948,0.004626280,-0.143553779,0.789580322,0.001289479
1709656271.563006,,,,,,,,,,,,,,10.000000000,1709656271.562725067,0.000000000,0.033856090,0.000000000,0.000000000,0.033856090,0.000000000,-0.208655357,0.002905945,0.035602879,-3.078706741,-0.782776208,0.053961270,-0.583355546,0.003054704,0.047860523,22.133663177,-2.357287647,-0.008805625,0.763659656,0.003232198,0.011470259,2.473021030,1.572662846,0.014225797,-0.100523986,0.789579885,-0.000437643
1709656271.596404,,,,,,,,,,,,,,11.000000000,1709656271.596134901,0.000000000,0.033856090,0.000000000,0.000000000,0.033856090,0.000000000,-0.089636803,0.004121348,0.028581460,-3.324678421,-0.780954979,0.056698880,-0.623028398,0.004594169,0.050383042,21.939266205,-2.357708463,-0.012482252,0.793872058,0.003605910,0.010370734,2.436399937,1.573097954,0.007053248,-0.057494201,0.789574947,-0.001261443
